country,city,latitude,longitude
Cameroon,badaji,6.866667,10.116667
Cameroon,banyo,6.7496639,11.8036596
cameroon,belel,7.0513571,14.4344853
Cameroon,guider,9.9256779,13.9434035
Cameroon,kaele,10.1111834,14.4432179
Cameroon,tibati,6.470326,12.6187506
Cameroon,touboro,7.7681541,15.3541013
Cameroon,lam,10.083516,14.132273
Cameroon,batao,9.938697,14.156256
Cameroon,meiganga,6.515097,14.291839
nigeria,katsina,13.0081,7.6083
nigeria,bauchi,10.3038,9.8393
nigeria,adamawa,9.7642,12.6127
nigeria,kebbi,12.0947,4.1256
nigeria,sokoto,13.0659,5.23
nigeria,jigawa,12.3863,9.4619
nigeria,yobe,12.6243,11.3061
nigeria,zamfara,12.4981,6.7185
nigeria,borno,12.7992,12.8821
nigeria,gombe,10.2822,11.1658
nigeria,kano,11.989,8.5437
rwanda,nyagatare,-1.2994,30.3324
rwanda,bugesera,-2.2245,30.1357
rwanda,ngoma,-2.7421,29.6794
rwanda,kirehe,-2.2592,30.6454
rwanda,gatsibo,-1.5851,30.2327
rwanda,kayonza,-1.542,30.149
rwanda,rwamagana,-1.9491,30.4326
ethiopia,dire dawa,9.5894,41.8693
ethiopia,tigray,14.6341,37.9675
ethiopia,amhara,11.5892,38.0525
ethiopia,oromia,6.9223,38.3653
ethiopia,somali,7.2994,44.0712
ethiopia,afar,11.9618,40.2498
